,code_module,code_presentation,id_assessment,assessment_type,date,weight,combination_course_key
0,AAA,2013J,1752,TMA,19.0,10.0,AAA2013J
1,AAA,2013J,1753,TMA,54.0,20.0,AAA2013J
2,AAA,2013J,1754,TMA,117.0,20.0,AAA2013J
3,AAA,2013J,1755,TMA,166.0,20.0,AAA2013J
4,AAA,2013J,1756,TMA,215.0,30.0,AAA2013J
5,AAA,2013J,1757,Exam,,100.0,AAA2013J
6,AAA,2014J,1758,TMA,19.0,10.0,AAA2014J
7,AAA,2014J,1759,TMA,54.0,20.0,AAA2014J
8,AAA,2014J,1760,TMA,117.0,20.0,AAA2014J
9,AAA,2014J,1761,TMA,166.0,20.0,AAA2014J
10,AAA,2014J,1762,TMA,215.0,30.0,AAA2014J
11,AAA,2014J,1763,Exam,,100.0,AAA2014J
12,BBB,2013B,14991,CMA,54.0,1.0,BBB2013B
13,BBB,2013B,14992,CMA,89.0,1.0,BBB2013B
14,BBB,2013B,14993,CMA,124.0,1.0,BBB2013B
15,BBB,2013B,14994,CMA,159.0,1.0,BBB2013B
16,BBB,2013B,14995,CMA,187.0,1.0,BBB2013B
17,BBB,2013B,14984,TMA,19.0,5.0,BBB2013B
18,BBB,2013B,14985,TMA,47.0,18.0,BBB2013B
19,BBB,2013B,14986,TMA,89.0,18.0,BBB2013B
20,BBB,2013B,14987,TMA,124.0,18.0,BBB2013B
21,BBB,2013B,14988,TMA,159.0,18.0,BBB2013B
22,BBB,2013B,14989,TMA,187.0,18.0,BBB2013B
23,BBB,2013B,14990,Exam,,100.0,BBB2013B
24,BBB,2013J,15003,CMA,54.0,1.0,BBB2013J
25,BBB,2013J,15004,CMA,96.0,1.0,BBB2013J
26,BBB,2013J,15005,CMA,131.0,1.0,BBB2013J
27,BBB,2013J,15006,CMA,166.0,1.0,BBB2013J
28,BBB,2013J,15007,CMA,208.0,1.0,BBB2013J
29,BBB,2013J,14996,TMA,19.0,5.0,BBB2013J
30,BBB,2013J,14997,TMA,47.0,18.0,BBB2013J
31,BBB,2013J,14998,TMA,96.0,18.0,BBB2013J
32,BBB,2013J,14999,TMA,131.0,18.0,BBB2013J
33,BBB,2013J,15000,TMA,166.0,18.0,BBB2013J
34,BBB,2013J,15001,TMA,208.0,18.0,BBB2013J
35,BBB,2013J,15002,Exam,,100.0,BBB2013J
36,BBB,2014B,15015,CMA,47.0,1.0,BBB2014B
37,BBB,2014B,15016,CMA,82.0,1.0,BBB2014B
38,BBB,2014B,15017,CMA,117.0,1.0,BBB2014B
39,BBB,2014B,15018,CMA,152.0,1.0,BBB2014B
40,BBB,2014B,15019,CMA,194.0,1.0,BBB2014B
41,BBB,2014B,15008,TMA,12.0,5.0,BBB2014B
42,BBB,2014B,15009,TMA,40.0,18.0,BBB2014B
43,BBB,2014B,15010,TMA,82.0,18.0,BBB2014B
44,BBB,2014B,15011,TMA,117.0,18.0,BBB2014B
45,BBB,2014B,15012,TMA,152.0,18.0,BBB2014B
46,BBB,2014B,15013,TMA,194.0,18.0,BBB2014B
47,BBB,2014B,15014,Exam,,100.0,BBB2014B
48,BBB,2014J,15020,TMA,19.0,0.0,BBB2014J
49,BBB,2014J,15021,TMA,54.0,10.0,BBB2014J
50,BBB,2014J,15022,TMA,110.0,20.0,BBB2014J
51,BBB,2014J,15023,TMA,152.0,35.0,BBB2014J
52,BBB,2014J,15024,TMA,201.0,35.0,BBB2014J
53,BBB,2014J,15025,Exam,,100.0,BBB2014J
54,CCC,2014B,24286,CMA,18.0,2.0,CCC2014B
55,CCC,2014B,24287,CMA,67.0,7.0,CCC2014B
56,CCC,2014B,24288,CMA,137.0,8.0,CCC2014B
57,CCC,2014B,24289,CMA,207.0,8.0,CCC2014B
58,CCC,2014B,24282,TMA,32.0,9.0,CCC2014B
59,CCC,2014B,24283,TMA,102.0,22.0,CCC2014B
60,CCC,2014B,24284,TMA,151.0,22.0,CCC2014B
61,CCC,2014B,24285,TMA,200.0,22.0,CCC2014B
62,CCC,2014B,24290,Exam,,100.0,CCC2014B
63,CCC,2014B,40087,Exam,,100.0,CCC2014B
64,CCC,2014J,24295,CMA,18.0,2.0,CCC2014J
65,CCC,2014J,24296,CMA,67.0,7.0,CCC2014J
66,CCC,2014J,24297,CMA,144.0,8.0,CCC2014J
67,CCC,2014J,24298,CMA,214.0,8.0,CCC2014J
68,CCC,2014J,24291,TMA,32.0,9.0,CCC2014J
69,CCC,2014J,24292,TMA,109.0,22.0,CCC2014J
70,CCC,2014J,24293,TMA,158.0,22.0,CCC2014J
71,CCC,2014J,24294,TMA,207.0,22.0,CCC2014J
72,CCC,2014J,24299,Exam,,100.0,CCC2014J
73,CCC,2014J,40088,Exam,,100.0,CCC2014J
74,DDD,2013B,25341,CMA,23.0,2.0,DDD2013B
75,DDD,2013B,25342,CMA,51.0,3.0,DDD2013B
76,DDD,2013B,25343,CMA,79.0,3.0,DDD2013B
77,DDD,2013B,25344,CMA,114.0,4.0,DDD2013B
78,DDD,2013B,25345,CMA,149.0,4.0,DDD2013B
79,DDD,2013B,25346,CMA,170.0,3.0,DDD2013B
80,DDD,2013B,25347,CMA,206.0,6.0,DDD2013B
81,DDD,2013B,25334,TMA,25.0,7.5,DDD2013B
82,DDD,2013B,25335,TMA,53.0,10.0,DDD2013B
83,DDD,2013B,25336,TMA,81.0,12.5,DDD2013B
84,DDD,2013B,25337,TMA,116.0,15.0,DDD2013B
85,DDD,2013B,25338,TMA,151.0,15.0,DDD2013B
86,DDD,2013B,25339,TMA,200.0,15.0,DDD2013B
87,DDD,2013B,25340,Exam,240.0,100.0,DDD2013B
88,DDD,2013J,25348,TMA,25.0,10.0,DDD2013J
89,DDD,2013J,25349,TMA,53.0,12.5,DDD2013J
90,DDD,2013J,25350,TMA,88.0,17.5,DDD2013J
91,DDD,2013J,25351,TMA,123.0,20.0,DDD2013J
92,DDD,2013J,25352,TMA,165.0,20.0,DDD2013J
93,DDD,2013J,25353,TMA,207.0,20.0,DDD2013J
94,DDD,2013J,25354,Exam,261.0,100.0,DDD2013J
95,DDD,2014B,25355,TMA,25.0,10.0,DDD2014B
96,DDD,2014B,25356,TMA,53.0,12.5,DDD2014B
97,DDD,2014B,25357,TMA,74.0,17.5,DDD2014B
98,DDD,2014B,25358,TMA,116.0,20.0,DDD2014B
99,DDD,2014B,25359,TMA,158.0,20.0,DDD2014B
100,DDD,2014B,25360,TMA,200.0,20.0,DDD2014B
101,DDD,2014B,25361,Exam,241.0,100.0,DDD2014B
102,DDD,2014J,25362,TMA,20.0,5.0,DDD2014J
103,DDD,2014J,25363,TMA,41.0,10.0,DDD2014J
104,DDD,2014J,25364,TMA,62.0,10.0,DDD2014J
105,DDD,2014J,25365,TMA,111.0,25.0,DDD2014J
106,DDD,2014J,25366,TMA,146.0,25.0,DDD2014J
107,DDD,2014J,25367,TMA,195.0,25.0,DDD2014J
108,DDD,2014J,25368,Exam,,100.0,DDD2014J
109,EEE,2013J,30709,TMA,33.0,16.0,EEE2013J
110,EEE,2013J,30710,TMA,68.0,28.0,EEE2013J
111,EEE,2013J,30711,TMA,124.0,28.0,EEE2013J
112,EEE,2013J,30712,TMA,159.0,28.0,EEE2013J
113,EEE,2013J,30713,Exam,235.0,100.0,EEE2013J
114,EEE,2014B,30714,TMA,33.0,16.0,EEE2014B
115,EEE,2014B,30715,TMA,68.0,28.0,EEE2014B
116,EEE,2014B,30716,TMA,117.0,28.0,EEE2014B
117,EEE,2014B,30717,TMA,152.0,28.0,EEE2014B
118,EEE,2014B,30718,Exam,228.0,100.0,EEE2014B
119,EEE,2014J,30719,TMA,33.0,16.0,EEE2014J
120,EEE,2014J,30720,TMA,68.0,28.0,EEE2014J
121,EEE,2014J,30721,TMA,131.0,28.0,EEE2014J
122,EEE,2014J,30722,TMA,166.0,28.0,EEE2014J
123,EEE,2014J,30723,Exam,235.0,100.0,EEE2014J
124,FFF,2013B,34865,CMA,222.0,0.0,FFF2013B
125,FFF,2013B,34866,CMA,222.0,0.0,FFF2013B
126,FFF,2013B,34867,CMA,222.0,0.0,FFF2013B
127,FFF,2013B,34868,CMA,222.0,0.0,FFF2013B
128,FFF,2013B,34869,CMA,222.0,0.0,FFF2013B
129,FFF,2013B,34871,CMA,222.0,0.0,FFF2013B
130,FFF,2013B,34870,CMA,222.0,0.0,FFF2013B
131,FFF,2013B,34860,TMA,19.0,12.5,FFF2013B
132,FFF,2013B,34861,TMA,47.0,12.5,FFF2013B
133,FFF,2013B,34862,TMA,89.0,25.0,FFF2013B
134,FFF,2013B,34863,TMA,131.0,25.0,FFF2013B
135,FFF,2013B,34864,TMA,166.0,25.0,FFF2013B
136,FFF,2013B,34872,Exam,222.0,100.0,FFF2013B
137,FFF,2013J,34878,CMA,236.0,0.0,FFF2013J
138,FFF,2013J,34879,CMA,236.0,0.0,FFF2013J
139,FFF,2013J,34880,CMA,236.0,0.0,FFF2013J
140,FFF,2013J,34881,CMA,236.0,0.0,FFF2013J
141,FFF,2013J,34882,CMA,236.0,0.0,FFF2013J
142,FFF,2013J,34884,CMA,236.0,0.0,FFF2013J
143,FFF,2013J,34883,CMA,236.0,0.0,FFF2013J
144,FFF,2013J,34873,TMA,19.0,12.5,FFF2013J
145,FFF,2013J,34874,TMA,47.0,12.5,FFF2013J
146,FFF,2013J,34875,TMA,96.0,25.0,FFF2013J
147,FFF,2013J,34876,TMA,131.0,25.0,FFF2013J
148,FFF,2013J,34877,TMA,173.0,25.0,FFF2013J
149,FFF,2013J,34885,Exam,236.0,100.0,FFF2013J
150,FFF,2014B,34891,CMA,227.0,0.0,FFF2014B
151,FFF,2014B,34892,CMA,227.0,0.0,FFF2014B
152,FFF,2014B,34893,CMA,227.0,0.0,FFF2014B
153,FFF,2014B,34894,CMA,227.0,0.0,FFF2014B
154,FFF,2014B,34895,CMA,227.0,0.0,FFF2014B
155,FFF,2014B,34897,CMA,227.0,0.0,FFF2014B
156,FFF,2014B,34896,CMA,227.0,0.0,FFF2014B
157,FFF,2014B,34886,TMA,24.0,12.5,FFF2014B
158,FFF,2014B,34887,TMA,52.0,12.5,FFF2014B
159,FFF,2014B,34888,TMA,87.0,25.0,FFF2014B
160,FFF,2014B,34889,TMA,129.0,25.0,FFF2014B
161,FFF,2014B,34890,TMA,171.0,25.0,FFF2014B
162,FFF,2014B,34898,Exam,227.0,100.0,FFF2014B
163,FFF,2014J,34904,CMA,241.0,0.0,FFF2014J
164,FFF,2014J,34905,CMA,241.0,0.0,FFF2014J
165,FFF,2014J,34906,CMA,241.0,0.0,FFF2014J
166,FFF,2014J,34907,CMA,241.0,0.0,FFF2014J
167,FFF,2014J,34908,CMA,241.0,0.0,FFF2014J
168,FFF,2014J,34910,CMA,241.0,0.0,FFF2014J
169,FFF,2014J,34909,CMA,241.0,0.0,FFF2014J
170,FFF,2014J,34899,TMA,24.0,12.5,FFF2014J
171,FFF,2014J,34900,TMA,52.0,12.5,FFF2014J
172,FFF,2014J,34901,TMA,94.0,25.0,FFF2014J
173,FFF,2014J,34902,TMA,136.0,25.0,FFF2014J
174,FFF,2014J,34903,TMA,199.0,25.0,FFF2014J
175,FFF,2014J,34911,Exam,241.0,100.0,FFF2014J
176,GGG,2013J,37418,CMA,229.0,0.0,GGG2013J
177,GGG,2013J,37419,CMA,229.0,0.0,GGG2013J
178,GGG,2013J,37420,CMA,229.0,0.0,GGG2013J
179,GGG,2013J,37421,CMA,229.0,0.0,GGG2013J
180,GGG,2013J,37422,CMA,229.0,0.0,GGG2013J
181,GGG,2013J,37423,CMA,229.0,0.0,GGG2013J
182,GGG,2013J,37415,TMA,61.0,0.0,GGG2013J
183,GGG,2013J,37416,TMA,124.0,0.0,GGG2013J
184,GGG,2013J,37417,TMA,173.0,0.0,GGG2013J
185,GGG,2013J,37424,Exam,229.0,100.0,GGG2013J
186,GGG,2014B,37428,CMA,222.0,0.0,GGG2014B
187,GGG,2014B,37429,CMA,222.0,0.0,GGG2014B
188,GGG,2014B,37430,CMA,222.0,0.0,GGG2014B
189,GGG,2014B,37431,CMA,222.0,0.0,GGG2014B
190,GGG,2014B,37432,CMA,222.0,0.0,GGG2014B
191,GGG,2014B,37433,CMA,222.0,0.0,GGG2014B
192,GGG,2014B,37425,TMA,61.0,0.0,GGG2014B
193,GGG,2014B,37426,TMA,117.0,0.0,GGG2014B
194,GGG,2014B,37427,TMA,166.0,0.0,GGG2014B
195,GGG,2014B,37434,Exam,222.0,100.0,GGG2014B
196,GGG,2014J,37438,CMA,229.0,0.0,GGG2014J
197,GGG,2014J,37439,CMA,229.0,0.0,GGG2014J
198,GGG,2014J,37440,CMA,229.0,0.0,GGG2014J
199,GGG,2014J,37441,CMA,229.0,0.0,GGG2014J
200,GGG,2014J,37442,CMA,229.0,0.0,GGG2014J
201,GGG,2014J,37443,CMA,229.0,0.0,GGG2014J
202,GGG,2014J,37435,TMA,61.0,0.0,GGG2014J
203,GGG,2014J,37436,TMA,124.0,0.0,GGG2014J
204,GGG,2014J,37437,TMA,173.0,0.0,GGG2014J
205,GGG,2014J,37444,Exam,229.0,100.0,GGG2014J
